review,sentiment,sentiment_pred
محلاكم مع بعضكم قروب هايل,Positive,negative
منافق و ماصط لاصط و جبري و تجمعي و طحان,Negative,negative
كلب ساقط,Negative,negative
اووووه قداش معيوه و ماسط و خامج,Negative,negative
كان يموت بلطي يموت الراب في تونس,Positive,negative
مقداد قاهر الفن في البلاد,Negative,negative
نفسي اعرف المساطه متاعها من وين مستوردتها تعمل الجاير بالعمل,Negative,negative
بوزينك محلاك ربي معاك,Positive,negative
من اكبر المنفقين في هذه البلاد يمثل خطر علي البلاد,Negative,negative
التونسيه دخلت في الحمله الانتخابيه جهار في النهار تهز في الطحين لترويكا,Negative,negative
راااك ماااسط والله لبلاد مدخلت في حيط كان بامثالك,Negative,negative
مش متروبي,Negative,negative
ماسط مانحباش,Negative,negative
كلب بن علي,Negative,negative
خييييت,Negative,negative
قمه العار تحكي في موضوع محرم برب فيقو شويه يزينا من قله الحياء,Negative,negative
محلاها ما شاء الله,Positive,negative
والله كرهتونا بها المسلسل,Negative,negative
مااااااااااسط,Negative,negative
برافو سامي,Positive,negative
صدقني ماسط و اسطك منه مثاماش اقزززز عامل روحااا صاحب جووو هذه مستويات ي,Negative,negative
الصببببررررررر يااااربي يزيه هانا حكا سيبوناا راهو فددناااا,Negative,negative
ماااااااااااااااسط يدخل بعضو كي يجبدولو علي النهضه تاااااااااااااافه و لا يليق ببرنامج كهذا,Negative,negative
منحط اخلاقيا,Negative,negative
لا حول الله لا خير لا فيك و لا في خوك كل انسان اندو حق الرد اما بالطريقه هذي سامحني فيك قله تربيه,Negative,negative
يا طحاااااااااااااااااااان,Negative,negative
ماصت,Negative,negative
ماسط يمكن لكن الامسط منو شكيب,Negative,negative
مبدع شريف رجل قانون نزيه ربي يوفقو,Positive,negative
انسان فاشل و جابوه في تلفزه افهم اشنيه باش يصير هههه,Negative,negative
احلي قناه تونسيله,Positive,negative
البرنامج ماسط و كوببي,Negative,negative
يامرتزقه ياخونه يادياثه ويا عهرات,Negative,negative
نحبها برشا هي الي تمثل المراه التونسيه احسن تمثيل رزينه و محترمه و مثقفه و كلامها موزون ربي يوفقها محتاجين للنساء كيفها في تونس,Positive,negative
وجوه النحس كروك ملهات,Negative,negative
قوه صوت هايلهلكن اختار الكلمات الجيده ومن الاحسن تكون من التراث العريق التونسي مع اختيار الفديو كليب اللايق بالغنيه,Positive,negative
برشه وبنه منك يا مسخ تفووووه عليك عمل العار مفكر جاهل شعب اشدو فيه علي جونه وسيكارو مبروم وعبد كيما الخامج هذا سارق ومتحيل وفاسد وقمارجي وتونس كامله تتفرج فيه وميكلمو حدقلو شكون يربح المليار كلب من كلاب المتمره واخو اكثر من حقو و العيب في الاعلامي الي ستدعاه مسلسل يدرب علي الوبنه يوترني حضوره و تعليقاته الموجهه و مداخلاته التي لا تخلو من المغالطات صدقوني يمرضني وراسي يوجعني و ينرزني ممثل فاشل و ماسط بصراحه حصه كلام الناس ولاه قعده في قهوه الحومه لعب ذر المقدم فارغ يحب التهريج واللعب وزيد البعض مالضيوف دون المستوي مما يجعل الحصه تافهه ممله فارغه المحتوي برشه بلاده و قله حياء ماسط كالكلاسه عمروو ما يضحك انسان تافه ماسط لاسط مقرففففففف انها لا تمثل المراه التونسيه و من لا تحترم الرجال لا تحترم دينها هي ايضا لا تحترم ولدها حيوان اعلام فسد الشباب وضيع اخلاق الناس,Negative,negative
يا امين يا سخطه مخلي شيخ و تاخذ في رايها و زيد علا هذا تقص عليه و ما خليتوش يفهمو هذا نورمال,Negative,negative
فاشل,Negative,negative
ههههههه والله عجبتني,Positive,negative
الفاسد هذا من سوسه و الشيي من ماتاه لا يستغرب,Negative,negative
خطوه اولي في الطريق الصحيح,Positive,negative
بليدمان,Negative,negative
نحبها خاطرها ممثله صادقه,Positive,negative
صوت جميل و رايع هذه فله من فلتات الزمان,Positive,negative
فوزي بن كمره يا معلم,Positive,negative
ما شاء الله ربي يعطيك الصحه تحياتي لك اختي الكريمه,Positive,negative
توفيق الغربي وسخ اعلامي و ثقافي و سياسي,Negative,negative
اخخخ تفووووو عليه مسخ والله ميحشم وعار ملافضايح,Negative,negative
سوبرمان هذا,Positive,negative
تفوووووو عليكم ياخماج,Negative,negative
كلام الشيخ مزيان,Positive,negative
نوفل و ابتسامته اروع ما في كلام الناس,Positive,negative
ملا رهوت في قنات العار,Negative,negative
ارزن و اعمل عقلك وهف يهزك فمها تقول كونفارس و هي باش تطير مناظر مقلبه,Negative,negative
ياسامي والله انك عسل ربي يحميك لاولادك,Positive,negative
مثال للهرج و الميوعه لا مواقف له بكبسه زر تنقلب و لا فن له لكنه اصر علي الحظور بالتهريج و المرج,Negative,negative
عيب عليك يابندرمان تونس مهياش كوريــــــــــــــــــي تونس برجالها ونساها ولو جات كوري راهو حالها مثل ليبيا والصومال واليمن احمد ربي الناس دفعت ارواحها مقابل هذه البلاد باش سيادتك تنعم بالامن والامان وتقعد في بلاطو تلفزي وتبدا تسيب في الريق لبارد متاعك وينك يا لطفي لعماري علاه مسكتوش عيب والله عيب,Negative,negative
ازلللللللللللع الجيفه يا روده,Negative,negative
ياسر ضامر و دمو بارد,Positive,negative
شباب ريفي,Positive,negative
متصورتكش امسخ لدرجه هاذي يا نا تن يا حقودي لعنه الله عليك وعلي اخلاقك الف مره,Negative,negative
مقحف ماجاش حتي شي قدام نوفل رجعولنا نوفل ياولادي,Negative,negative
سيده تونس الاولي كم احترمها وحدك يا وجيهه حوت و حويته عليك صوت حلو ايمن خلقه واخلاق ربي يعينو ساعه محلاها كوثر بالحاج ربي يحفظك يا عايشه اما رد بالك راك مازلت صغيره و المستقبل قدامك نموت عليه دخل الضحكه الديار التونسيه بالنشبه لامين باهي وعاقل ومتربي ونقي كان نقول ربي يوفقو ياحسره فرحت كريتو برجوليه محلاها والله علاش تبرو عليها فنانه وعليها لكلام ربي معاها اخوك من الجزاير ولي تقري رسايل باهيه برشه فنان كبير هههه و برفو ربي يعينو مروه نشالله ربي يوفقك في دربيك ونشاالله ديما عنديك الجديد زايد الرخيص يبقي طول عمرو رخيص فاخر برشه فوزي معلم موقف ممتاز كنت اتوقعه منك فالرجال مواقف خلوقه وكلمه حق جعفرانت انسان بكل ما تحمله الكلمه من معاني معلم وولدها عجبني مال افكار يا سامي بصراحه هاو الضحك الصحيح ممثلين بارعين محلاهم حسين يااجمل و احلي فنان في العالم يعجبني كلامها و اسلوبها من احسن الممثلات في تونس حظ موفق وجيهه كفاءه معرفه و حرفيه هانا نستناو فيكم بالتوفيق ان شاء الله نهارك فل لاحسن واحد في الدنيا الكل الصافي سعيد اكيد حلقه قويه جزايريه يعطيك الصحه و العافيه يا علاء كيما فرحتها الله يفرحك و انا عجبتني مني و عجبني تعلقها بامها ربي يخليهالها و يا ريت كل واحد يحب امو كيما مني محترمه راجل انا مالمعجبين بالشيخ تحيفه ونعتبرها زلت لسان رجل باتم معني الكلمه يرفض التعليق علي موضوع هابط نحن نعشق الحوار التونسي انت معلم واحنا منك نتعلم,Positive,negative
فنانه وعليها الكلام,Positive,negative
صافي سعيد ماشي جاي عالبرنامج اعملولو برنامج احسن,Positive,negative
انت معلم يسكتو وانت موجود ميقدرو يتكلمو وله معلم,Positive,negative
توفيق الغربي عجبتني,Positive,negative
فنان معقد برشااااا,Negative,negative
ماسط وكنا ننتظر احسن من هذا العمل من الحوار التونسي لكن مع الاسف,Negative,negative
والله عز الناس و معلم ربي اعينو,Positive,negative
عيب عليك حتيي تضهر في التلفزه ما تستحيش علي نفسك انك في بلد مسلم وكل من يتعاطف معك مثلك,Negative,negative
صحه جعفور راك عالمي,Positive,negative
خساره اك الشعر اللي في وجهك يا ناتن يا معفن يا خامج يا جيفه يا خروف تفوه عليك و علي اللي يساند فيك يراك مهلوك انت و امثالك يا كلب الكلاب هذه دعوه مني عليك في الفجر و انشاء الله ربي يقبل دعوتي قولو اميين,Negative,negative
بارشا انوثه,Positive,negative
انحبك,Positive,negative
تافهه,Negative,negative
انا فديت من تفاهتكم و فسادكم و بيع دينكم و بلدكم و اخلاقكم يا اعلام فرنسا و اسراييل اعلام المجاري اعلام نوفمبري فاسد حسبنا الله و نعم الوكيل فيكم,Negative,negative
مقداد السهيلي يوجع الراس اكثر من حشيشه رمضانم تافه,Negative,negative
ماصططططططططط,Negative,negative
معلم الشيخ تحيفه,Positive,negative
انسان فاشل و جابوه في تلفزه افهم اشنيه باش يصير هههه,Negative,negative
امين مزلت صعير علي تنشيط كلام الناس كي تكبر ايجي تكلم مع شكيب الناس تقول عيب عليك و اني نقولك برافو عليك شيخ الحقيقه تقال و الصوره واضحه ما اقل حياك يا سامي لا تقدروا عايلات لاشي قول انت مقدرتش مرتك و بنتك باش تقدر لعباد ممسطك و برا حسبنا الله فيكم و في ولات امور تونس,Negative,negative
طيح سعدك و سعد امك يا خامج تفوه عليك يا مسخ,Negative,negative
تعيففففف,Negative,negative
وليد بصاراحه كبره في عيني و في عين الشعب التونسي,Positive,negative
انتي ممثله انتي اكيد من السحاقيات,Negative,negative
جاهل,Negative,negative
ماهيش متربيه و مادام تشجع في لواط هذي موش تونسيه و الاسلام متشرفوش وحده عاهره,Negative,negative
فتاه صادقه و مميزه و تعرف ماتقول الرجل مممممم حاب يعود زواج بتونسيه و الاخر تبقي ديكور,Positive,negative
صوتك حلو كي تغني اما كي تتكلم قول لطفي بو شناق,Positive,negative
شنو كل هذه التعلقات علي فله لو كان واحد حافظ قرءان متعلقوش عليه اتقوا الله يا ناس نسيت عباده الله و نحن علي ابواب رمضان بدل جيبو دعات اسلام جيبو كان في الفنانات انا هذه فله متشرفنيش حسب روحا عمرها لبس الجينو مشحوط و العري الخزي و العار نحن بلد المليون شهيد و نصف مسلمون شعب الجزايري مسلم و الي العروبه ينتسب من قال حاد عن اصله او قال مات فقد كذب اتقو الله الغناء راهو حرام و الايه تقول الذي يشري لهو الحديث ليضل به عن سبيل الله بدل تواعضوا الناس في هذا الشهر الكريم و جيبو مساباقات دينيه و حفظ القرءان تستضيفو في الفناناتاين انتم يا مسلمون اتقو الله لا تشجعوا علي معصيه الله,Negative,negative
تحيه تقدير واحترام الي هدا الرجل,Positive,negative
يعجبني و محلاه و احسن رابور نشاله ربي يعطيه ما يتمني,Positive,negative
طحان,Negative,negative
ناجي جلول ء الله يواصل عالمعدل هذا باش يكسب محبه الكثيرين وانا نتمنالوا التوفيق و النجاح,Positive,negative
بلعوط,Negative,negative
ابدع البارحه في حصه كلام الناس,Positive,negative
مسلسل تافه تفاهه قحب قناه الحمار التونسي تفوه,Negative,negative
لن تسطتيعي اغرايي يا سافله,Negative,negative
محلاها,Positive,negative
ملا لطفي وملا جو معاه,Positive,negative
تسبو في الحوار او ساكتين علي قناه نسمه الي لكلها عاار و الافلام الي تجيب فيهم لكلها وسخ و فواحش و هي زاده الي جابت الفيلم يشوه الجلاله و الرسول عليه الصلاه و السلام علااه نسيتوها و رجعتو تشاهدو فيها كان شيء لم يكن و كبشتو في هاذم,Negative,negative
خييت مرضه,Negative,negative
احلي لقطه,Positive,negative
مقرف لايقبل الحوار الممثل او الفنان ملك الجميع انا مثلا في المستقبل معادش نتفرج فيه شيء مقرف قواد شعب طحان ميبون,Negative,negative
مقتله ضحك برافو كريم,Positive,negative
الحمد لله انه اصبح عندنا قضاء مستقل يقول الحقيقه و لا يخشي الوزير او غيره,Positive,negative
ماسطه او ديما سخيف وجه كي زبي,Negative,negative
من احسن ما فما في تونس,Positive,negative
رجل سياسي كبير,Positive,negative
شيطان ولد حرام يا عنبوك وبو ولديك يا طحان الدين اشرف منك ومن الي زيك يا كلب,Negative,negative
من افضل ممثلات تونس,Positive,negative
باين فيه ماااسط,Negative,negative
برافو علي مسلسل اخوه و زمان,Positive,negative
معلم كريم الغربي,Positive,negative
خفيف روح و ذكي و هذي وصفه كل منشط ناجح بالتوفيق,Positive,negative
سلعه كلبه,Negative,negative
ربي يحفضهم ان شاء الله محلاهم,Positive,negative
كلاب باعوا هممتهم بالفلوس باش يخرجوا علينا بالكلام الماسخ,Negative,negative
هذه الانسانه ضاربها الفشل من راسها للساقيها اذن تتوقع منها كل شي,Negative,negative
اصلا برنامج تافه قاعدين ينبرو ما فيشو حتي فايده,Negative,negative
عسل,Positive,negative
توفيق اللحاس,Negative,negative
اعوذ بالله من غضب الله مخيبهاوممصطها,Negative,negative
يا مغير الاحوال اهو واصبح منفتح يقبل نجلاء في حزبهم ياخي حزبكم ناس شرفاء في عهد التريكا ادخل السلاح والارهاب في الجبال والمساجد مسخوها والفقر اكثر بالله يزي من التنوفيق,Negative,negative
واحد فاسد يحب يغني في الخمج,Negative,negative
حنان شقراوي وجها من تالي لا تحشم لا والو ههههههههههههههه,Negative,negative
مبرووووك القناعه باهيه,Positive,negative
تافهه وسطيه وبالخصوص كي تضحك سنيها كبار وخايبين وزيد تتصنع وموش مواتيها,Negative,negative
اسقط وارذل خلق الله هم انتم يا حزب النهضه,Negative,negative
خمسه و خميس علي جعفور ديما محفلها,Positive,negative
جعفور انت احسن فنان وانسان قبل فنان نحبوك ياسر اما بيناتنا السروال لحمر زاد فيك الشطر هههههه,Positive,negative
تافه تافه تافه,Negative,negative
جعفور عسل احسن فنان تونسي,Positive,negative
تافه او ماسط كان يرجع علاء ولا نزار الشعري خير بارشا,Negative,negative
يعجبني تمثيلها كذل زواليه اما يعطيه صحه,Positive,negative
مقداد السهيلي اغرب من الخيال تهو اكبر منافق تقولش عليه هو عبد الحليم في زمانو تافه مايستاهلش باش اكون نقيب,Negative,negative
لا تربح الي خمم و جابك,Negative,negative
كريطه,Negative,negative
تقتل بالزين,Positive,negative
برااافو استاذ يوسف واصل في تحسن,Positive,negative
تفوه علي زك امك يا منيك,Negative,negative
محلاكمربييفضلكم لبعضكم,Positive,negative
تفوه علي جابك و الي ربك يا جربوع,Negative,negative
ملا مادريه يعطيك دقه يا امين شكون لامم,Negative,negative
الله برافو صوت رااااايع للاسف من اجمل الاصوات الحلوه والمدهشه عنا في تونس لاكن تلقي كعبتين بركا معروفين في الوسط الفني,Positive,negative
برافو امين في كل مره تجيبلنا تحفه كيفك هههههههه,Positive,negative
سيده مثقفه حكيمه و اخلاق عاليه و مدرسه في فن الخطابه و الاسلوب الحواري المتحضر المرتكز علي الاستماع الجيد و حسن التحليل و تالتفسير و التعليل هذه المراه التونسيه,Positive,negative
يكب سعدوا انشالله يهلكوا ربي تو هاكا راجل تييييييي قمت العار جاااب العار لتونس,Negative,negative
تحيه مفعمه بالاحترام و التقدير لاحلي منشط و كوميدي جعفر القاسمي ربي يحميك من العين و الحسد وانشاالله ربي يوفقك في اعمالك,Positive,negative
ربي يهلكم يا اعداء الدين,Negative,negative
نبزق علي القناه و نتعدي تفوووووووووووه,Negative,negative
عجبتني الفايزه محلها,Positive,negative
حثاله مثل هذا توفيق لا تربيه ولا اخلاق مقرف,Negative,negative
دايما انيقه علي الدوام,Positive,negative
ماسط عمل العار محابش يحكي مع شكيب خاطر يخاف يواجهو,Negative,negative
الله ياسي علولو حلقه الليله تهبل الله يوفقك في برنامجك المفظل,Positive,negative
فوزي بن مره كان احسن فنان شعبي و اصبح احسن منشد ديني,Positive,negative
اعوذ بالله هذه العاهره لا تمثلني و لا تمثل نساء بلادي الشريفات ناكد الشرفات فقط و ربي يسترناا دنيا و اخره,Negative,negative
مش غريب عليه التبندير,Negative,negative
ملاء رهوط اخ تفوه,Negative,negative
انحب انقول لحسين الديك انت في قلوبنا و قلوب سورين تونس وا لا سوريا بلاد واحده,Positive,negative
بدون تعلوق,Negative,negative
خمسه و خميس عليه يفهم ياسر في تونس حاوس تفهم,Positive,negative
ملهط,Negative,negative
تعجبني خير من برشا جابهم نوفل,Positive,negative
وهف يهزك,Negative,negative
برافو امين حلقه متميزه ضيوفك من تراز رفيع بردتنا علي قلوبنا من نباره ونقلك يا انصاف اليحياوي راك دايما متالقه او مزيانه اشنوا السر,Positive,negative
مرزنووو و امسط من حكه الطماطم بو رطل,Negative,negative
الشيب والعيب,Negative,negative
يعجبني برشا وبسيط ومتواضع,Positive,negative
والله منعرش كفاش خذاها جايزه افضل ممثل,Negative,negative
ماسطه,Negative,negative
افففففففففففف شي يفدد,Negative,negative
راجل,Positive,negative
مستويات,Negative,negative
جعفورر يا معذبهم ديما محفلها و ديما ضامر وحدك و برا و متركزوش مع سروالو ياسر مواتيه,Positive,negative
حفيان جيعان عريان طحان,Negative,negative
فارغه,Negative,negative
حباتك لفعه,Negative,negative
امين ربي معاك و انا ياسر تعجبني,Positive,negative
انا تعجبني برشا اما ياسر لا تخبش ولا دبش تفلفل شويه يا الفه,Positive,negative
احسن ممثله في تونس,Positive,negative
بصراحه برامج الحوار التونسي فدينا منهم لكلهم ترهدين و تنوفيق,Negative,negative
ممثله كبيره ومحترمه ولايوجد منها الكثير في تونس,Positive,negative
انسان يلوج علي البوووز تخللففف,Negative,negative
اذا انعدمت الاخلاق والقيم فمرحبا بك في تونس اين يمكث المثقفون الزايفون الطاهر بن حسين و اشباه الممثلين رافه عيادي والاعلام المنحاز قناه الحوار التونسي دورهم تبييض واحداث ضجه وزرع الفوضي والدفاع عن مسايل تتعارض مع القيم الاسلاميه ما يسمي ب المثليه الجنسيه التي بدورها هي قيم كونيه فالي اين بهكذا توجهات و مقاربات و برامج من يتصدي لهذه المسرحيات سييه الاخراج والانتاج اختم بقول الله سبحانه ان الذين يحبون ان تشيع الفاحشه في الذين امنوا لهم عذاب اليم في الدنيا والاخره والله يعلم وانتم لا تعلمون سوره النور الايه,Negative,negative
جعفر يحب بلادو ويعمل في الخير يعاون في الناس والحكومه لا علاقه تسرق في الشعب وتشري في الكوش للباجي,Positive,negative
عسل يا زهره,Positive,negative
كبرت في عنين بارشا توانسا احمد لندلسي,Positive,negative
الناس تكبر تعقال والاقحاب هذوما يكبرو يزيدو يخشوا الخلاء,Negative,negative
رجل و سد الرجال,Positive,negative
ابقو دايما في حمام النساء والتفاهات ديما بالبلاده متاعو ههه اللعنه اللعنه اللعنه علي هالرهوط الي ما يحشموش والاغرب من هذا ماد وجهه وما يحشمش لا خير لا فيه ولا في الي استدعاه مسسسسسسخ مارق وماسط وجايبها تمقعير علي اسياده بربي هل الكزي معادش تعملولو قيمه وتجيبوه في التلفزه بععععععععععع من اولاد سالمه الزححح دعاااااره يا سامي المراه افضحتها في المسلسل بوس و تعنيق و كلام عذب و في الصباح افضحتها بالتصاور,Negative,negative
تجابو كان في الكلاب للحور التونسي هدا مكانه مع الارهاب في الجبل الاخ ناجي جلول اعمل صح كيف ترك البرنامج مايقعدش جانب خنزير الجبل,Negative,negative
انا ارفع القبعه احتراما لهذا الاب الفاضل المجاهد مليون تحيه لك ايها الاب العظيم,Positive,negative
مخيبك اووواا,Negative,negative
عسل عسل,Positive,negative
احلا بنات شفتهم والله,Positive,negative
ما حلاها وياسر,Positive,negative
راجل وسيد الرجال ظاهر راجل شبعان وعينوا مليانه رغم الفقر والفقر فقر المخ والنفوس ويستحق اعلي وسام في الدوله برافو وربي يكثر منو الناس,Positive,negative
احسن كوميدي تونسي و تفدليكو يدخل للقلب فييسع تحيه ليك و لاخلاقك العاليه جعفوور,Positive,negative
شنوه الي قدمتوه لينا كان العيب و النميمه و الشتم,Negative,negative
لطفي انا جزايريه اما نموت عليك شخصيه توب ربي يحفظك,Positive,negative
لطفي العماري ابليس في شكل انسان غبي و احمق و جاهل يدعي العلم وهو لا علاقه له لا بالعلم و لا الاعلام قضي طفوله سييه و كان منبوذا من ابناء جيله و اصدقاء المدرسه لم يتقبلونه لغبايه و حقده علي اترابه وكان يكره التربيه الاسلاميه ساكتفي بهذا حتي ياتي ما يخالفه,Negative,negative
وليد يا معلللللللللللللم,Positive,negative
توا وفي مسلسل زازه و نجلاء و كرارز عبلا و هاو جاكم مسلسل منال عماره و كاديريم و المنقاله و الكبوط و راس اللمبوط برعايه قناه الحوار الراعي الرسمي لكل ماهو عار و خنار,Negative,negative
خمسه وخميس عليك احلي فله,Positive,negative
كركوز,Negative,negative
هذي ممثله الرذيله سكس,Negative,negative
بشري بن حميده امراه محترمه وجمال المدني قوله كله صحيح,Positive,negative
كلام جميل مالوش بديل,Positive,negative
وااااااااااااااااااااااااااااااااااااااااااااااااااااو محـلاهــا تهبـــــل,Positive,negative
مسهلتش روحك يا سامي نهار هكه تخمم وحدك وتقول شبيني تافه,Negative,negative
قرودت بليدار و الله,Negative,negative
قدكش ماسطا و ماتجي شي باهي,Negative,negative
توفيق الغربي فاشل و عمرو ما نجح في حتي عمل مسرحي و قلبو اسود علي النهضه خاترو تجمعي بامتياز,Negative,negative
برفوا وليد عرفت اش تحكي عجبتني,Positive,negative
احبك حتي النخاع يا علاء الشكر والتقدير ربي يحفضك يا احسن منشط في كل العالم ويقدرك علي فعل الخير خاصه مع االزوالي,Positive,negative
كثرلها من المسوطيه,Negative,negative
وحدك يا الفه,Positive,negative
واصل هكا و انشاء الله ديما متالق,Positive,negative
جعفر بكل بساطه انسان في زمان فقدت فيه هذهالكلمه قيمتها وجوهرها فالي الامام ووفق الله,Positive,negative
وجيهه بالحوت عليك و علي جماعه حمام الانف,Positive,negative
امراه وعليها الكلام تعرف اش تقول و ما يوقفها حتي سوال يعطيك الصحه,Positive,negative
جمال وصوت راءع وثقه بالنفس انا عجتني برشا ربي يوفقك اميمه,Positive,negative
ممسطو و مخيب صوتو,Negative,negative
الشيب و العيب كنت تنجم تلطفها الكلمه كرمك الله,Negative,negative
معلم ومايرشفها لحد,Positive,negative
يعنبو الوقت مقداد يتمزا علي بلطي وووووووه,Negative,negative
حصه راقيه باتم معنا الكلمه و ريم زادتها رقي برافو,Positive,negative
هههه انت المعلم و احنا منك نتعلم,Positive,negative
يا جعفور يا غالي انتي الوحيد الي تخدم وتفدلك بنيتك ومتخدمش مخك و محلا تلقايه متاعك,Positive,negative
محلااااها نحبها برشا و منوره كلام الناس,Positive,negative
عفشه,Negative,negative
ما قنعنيش,Negative,negative
سوال بليد,Negative,negative
تجمعي طحاااااااان,Negative,negative
حلقه اليوم عالميه,Positive,negative
احسن تونسي في العالم,Positive,negative
جعفور يا معلم كوميدي محترف و خدام و زيد محبوب ربي معاك,Positive,negative
تفوووه,Negative,negative
هكا نتفاهمو رجل رجل رجل احترامتي,Positive,negative
عيب,Negative,negative
جرذ,Negative,negative
زرعلنا البسمه و الفرحه في صغرنا,Positive,negative
برجوليه ماسطه وكثر من العسل يمساط,Negative,negative
ما نعرفهاش اما عملت مداخله باهيه يعطيها صحه,Positive,negative
حلقه اليوم معجبتنيش برشه مافيهاش اضافات كبيره بصراحه,Negative,negative
راك ماسط راك لاسط,Negative,negative
مثقف بودورو ممثل فاشل راك مقزز,Negative,negative
مريومه معبودتي الجماهير ان شاءالله من حسن الي احسن,Positive,negative
والله الكلب حاشاكم افظل واشرف من هالوقح الرهط المدعو الجويني,Negative,negative
عليك اللعنه يا كلب,Negative,negative
الحجره متذوب و ليلي القحبه متوب,Negative,negative
مشاء الله,Positive,negative
منافقين زايد,Negative,negative
مستوي المسلسلات ازيد في الفساد في البلاد,Negative,negative
جعفور روعه روعه روعه روعه روعه روعه روعه روعه روعه يارب تحميه و اتخليه و من حسن الصدف اني اتقبلت معاه هو انسان بمعني الكلمه ان شاء الله من حسن الي احسن امين يارب العالمين,Positive,negative
يعيش بتفهات لانه ببساطه تافه,Negative,negative
ممسطكم هذي هي حريه التعبير الي تحكيو علاها الحر هو لي يعرف حدودو,Negative,negative
واحد من البنداره,Negative,negative
من احلي النساء و محلي ضحكتها هذي النساء برسمي اناقه و عقوليه وتربيه وزين و عين,Positive,negative
هاك اللحاس لطفي لعماري بدلو وجيب راجل,Negative,negative
ماسطه لاسطه و ملايكتها رزينه من انتم,Negative,negative
ممسطوووو و مبلدوو و مخيبووو,Negative,negative
راك ماسطهراك لاسطه,Negative,negative
مورو يا معلللللللللللم,Positive,negative
ماسط,Negative,negative
مااااااااا سط,Negative,negative
ما امسطكم وما اغباكم كلكم تفاهه ومساطه,Negative,negative
للاسف ما وصل اليه حال الاسلام والمسلمين في بلد يدعي ان الاسلام دينه عيب وعاااااار عليكم ان تتناولو مثل هاته المواضيع الدنييه قناتكم كل مره تخرج لنا باشكل جديده مره من تدعون انه دكتور محمد الطالبي يحلل الخمر والزنا ومره الطاهر بن حسين يحلل الخمر وزد عليها موضوع المثليه للاسف اصبحنا نناقش مثل هاته المواضيع علنا بداعي الحريه ايه حريه هذه التي تتكلمون عنها شاطرين غير في معانده الغرب الا المواضيع التافهه اخذنا القشور وتركنا اللب الذي فيه فايده عمرها ما كانت الحريه بهذا الشكل الوضيع,Negative,negative
تي ماللخر راك انسان بوهالي تعمل في و بن علي ماهوش راجع ود,Negative,negative
عسل ومحلاه احنا مازلنا ما تعودناش عليه اما برافوا امين,Positive,negative
يعطك داء علي منظرك خول وسخ,Negative,negative
يا تحيفه قداش تحكي اما تبارك الله عليك,Positive,negative
لعنه الله عليكم يا مفسدين يا كلاب تخيبوا في رهوطكم حاسبين الشعب ظحكه يا شياطين,Negative,negative
اقسم بالله امسط منو لا ريت نحب نقلو حاجه و يتفكرها طول عمرو والله لا عمرو باش ينجح في الفكاهه اخيييييت,Negative,negative
راك ماسطه راك لاسطه,Negative,negative
امراه تفرض احترامها,Positive,negative
طحان يا سامي,Negative,negative
حلقه مميزه,Positive,negative
نور شيبا راك تهبل و كلكم بصراحه تهبلو ر,Positive,negative
احلي جعفور,Positive,negative
بصراحه المخلوق هذا زاد اكدلي اللي جماعه الجنوب ناس طيبه و راقيه موش كيف لفت العبدلي كان البلاده و الصياح في البلاتوهات,Positive,negative
فنك يعجبني و صوت تبارك الله,Positive,negative
عله راك يا بيه,Negative,negative
كافون يا معلم هو حر اش يغني مزاطيل و لا شق شق و لا حوماني و لي موش عاجبو يضرب راسو علي الحيط,Positive,negative
جاهله,Negative,negative
ياخي مش فايق بروحو اللي هو رزين و ماسط و يعيف,Negative,negative
اول راجل من رجال تونس في بلاتو يطرشقهالهم احتراماتي بوحميد,Positive,negative
تفيه عليك وعليه وعل سامي الفهري,Negative,negative
والله جعفر القاسمي انسان ضااامر و بشوش انشالله ربي يثبتك علي فعل الخير,Positive,negative
ركم كرهتونا فيه هاالبرنامج مالي جبتونا هاالثقيل والتافه شكيب بجاه ربي بعدوه خلينا نتابعو البرنامج ونعملوا عليه كيف ملي مشات ميه جبتولنا النهضاوي دمو ا زيت,Negative,negative
نوفل قداه نكرهو,Negative,negative
تفوووووووووووه عليك مكش متربي مسخ,Negative,negative
فضحتونا مع العايله يعتكم فضحه,Negative,negative
يكب ولا سعدو,Negative,negative
تففف عليك ها الصباح لمري متوفيه,Negative,negative
ربي يكثر منك الناس,Positive,negative
تقتل بالضحك,Positive,negative
جعغور انسان باهي برشا الناس الكل اتحبو ربي ايخليك جعفور,Positive,negative
اكثر شخص يمثلني في الساحه الوطنيه وتعجبني افكاره واراه الشخص الوحيد القادر علي منصب رييس الجمهوريه,Positive,negative
امسط من ملايكتو ما راتش عيني يا ناس راو غلب عليا تمنيت لو كان جات عندي قدره نحيلو الجنسيه التونسيه و نطيش والديه في زيمبابوي خليهم يستغلوا هاك الراس و يعملوه دربوكه ماخيب منضروا و م امسط ملايكتو,Negative,negative
برنامج تافه و كلها تعفط و تكذب عشعب و اسلوب رديء فلحوار,Negative,negative
المعتوهه مايا الكسوري والاهبل المسخ لطفي العماري زوز كلاب تنبح علي طياره والفاهم يفهم,Negative,negative
راك ماسط راك لاسط راك عالحيط,Negative,negative
تبارك الله وماشاء الله عسسسسل,Positive,negative
الفه فنانه بالحق صوت وحضور,Positive,negative
امسط ممثل عرفه التاريخ,Negative,negative
محلاهم الزوز روعه,Positive,negative
منشط طياره بدون منازع برافو مين لي المام,Positive,negative
مل سلعه,Negative,negative
