clean_text,sentiment
برى يعطيكم وهف أتعلمو في شباب في الفساد,Negative
يهبل,Positive
قناة الخنار للتونسي والله كان ايحلوها قدام حيوان ما يندبهم ايجبلك موضوع لواط وبعدها ايقولك الارهاب منين الشفاعة يا رسول الله اقسم بالله شي نطق ياامة ضحكت من جهلها الأمم,Negative
بففففففففف ما هذا الكائن الفضائي,Negative
انا بنسبة لي مروى هى تفلة او بالاحر مرا تونسية مزيانة و عندها خبرا برشا انا نشجعها و نقوللها واصل,Positive
معلم ربي اعينو,Positive
مسلسل روعة اختكم من الجزاءر,Positive
معلم,Positive
برافو كلامك عجبني,Positive
مغروره,Negative
حلوة برشا حلقة الليلة,Positive
لطفي العبدلي اجمل فكاهي في تونس ربي معاك,Positive
عصب ليكم او للباجى امتاعكم,Negative
ربي يشفيه,Negative
جعفور هبلهم بالروج,Positive
نحن نعشق الحوار التونسي,Positive
وين ماشي عريت اتونسه يارخيص رهم ابنا بلادك وين رجوليتك وغيريتك علي اصغار بلادك,Negative
فوزي انسان يخاف ربي و باهي مرجتونا بواحد ما يستاهلش التلفزة ًديما يتيتمً مقاطعينكم يا طحانة مارك لا منظر لا مخ خامجة برا مع فيمن تصلح بيك ساقط وجوهكم، وجوه الدعارة ماسط ياسر بلاصتو في بوابت عبدالله قش يستقبل الحرفاء أمسط مخلوق علي وجه الكورة الأرضية و ما جاورها زوز جبورة مايسواوس دورو كي لطفي الترتة ووليد ولد الجبري العنكبوتة المجرتلة تفييييه دور هذا و مرت بيرم متاع دبي ههه لا علاقة و فسدوها بالطمع مبسلو ماسط مش متربي حيوان مفترس ممصتو ياسر لاعب فاها فاهم كل شي يكب سعدك وسعد إللي حطك عيب عليه ما يجيش نضحكو على حد مش قاري ما حبيتهاش منو وكا لطفي بجاه ربي علاه جايبينو ماسط لاسط لم تكن ممتعا ولا جريء بل متحاملا على شق من ضيوفك أسئلتك تافهة وادارتك للحوار فضحت لعبتك رخييييييييس ماسط لاسط ليس بهذا المستوى المتدني تصنع الحضارة وليس بهذه البذاءة يولد الإبداع قذارة قشور والله ربي سبحانو لا يضلم وهو ها الجرذ حيوان اسمو على جسمو شراكة شلاكة نهضاوي كلب راااك ماسط راااك لاصط معجبتنيش لقطة بيرم وهو اعيط على امو الحق ماسطة قليل حياء وعديم التربية بأتم معنى الكلمة وجميع تصرفات النذالة عملها والي يزيد ينرفز سكوت أمينة عليه قداش المسلسل فيه تطييح قدر البنات و قداش حكاية ركيكة و مبتذلة و الي يدهش اكثر قداش جايب نسب مشاهدة المسلسل ولا كي ما فيهوش ولد حرام على الاقل ما فيهوش نكهة الحكايات هاذوما كنا نسمعوا بيهم كان في المسلسلات المكسيكية جاهلة بدا الطحين ليل الباجي بطريقة غير مباشرة الله لا تربحك يا قناة المخور تفووو عليك واحد واحد تففففففووووووووو عليكم واحد واحد فدينا من نهضة ديما كلام و فعل ربي جيبو زبلة من العال التمثيل فاشل و في الكلام فاشل و الحوارات فاشل و في كل شيء فاشل واحد رخيص و يحب كان الرخص حسان من الجزائر هناك مثل يقول الشيب والعيب اغسل بماء زمزم وادخل في الاسلام يا عدو اله تفووووو سخيييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييف مسلسل قلة الحياء والتربية ورسالة قذرة تبعث الى المشاهد عادة في رمضان تبث مسلسلات دينية مسلسلات تاريخية مسلسلات الابطال والشرفاء وليس مسلسلات البانديا والهمل والجراثيم والزوفرة اتقو الله في خلقه المشاهد حسنو مواضعكم واخلاقكم وذوقكم حتي يصل الى المشاهد فتكونو اديتم رسالتكم الصحيحة تفوه عليك وعلى برنامجك تتجلطم عالفريقي يا مسخ تفوووووووه باصتك في سجن غوانتانامو يا بهيم عيب في شهر رمضان و عايلات ملموة و نشوفو حاجات هكة شىء يحشم راهو مزال اولاد و بنات عايلات موجودة شنية هاذي ؟؟؟؟ لا تمثل المرأة التونسية ابتذال وسفالة بدون حدود الله لاتربحكم ولا تخلصلكم وحلة من كثرة مساطو رقدت إنسان لا يعرف معنى الحوار تافه الصراحة مش لهذه الدرجة طول لسان معادش فم حشمة مدام خساره تونس فيك مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط مااااسط كمشة مسيخ ماسط ماسط ماسط الى ميوصلش للعنب يقول قارص نجلاء طلعت اخبث منك مسكينة تونس ياسر مضروب في روحو خامج,Negative
ممثل بأتم معني الكلمة غير الحظ ما حالفوش,Positive
بصراحةطيارة,Positive
ربي يجازيكم,Positive
غالبا الجميلات الموهوبات قليلات حظ كل تقدير و الإحترام لك,Positive
مريض والله,Negative
زبالة حشاكم,Negative
مشاءالله على صوتك وانت بكلك محلاك يا اميمة بالتوفيق انشاله,Positive
من أروع البرامج,Positive
وليد التونسي احتراماتي,Positive
جهل و انحطاط اخلاقي و لا مبالاة باعراض الناس و بتقاليدنا و القيم و الثوابت التي تربينا عليها كمجتمع اسلامي محافظ لذلك فهي تستغل هذه المواضيع باعتبارها خطوط حمراء لغاية الشهرة و الفرجة لكنها لم تتوقع انقلاب السحر على الساحر,Negative
شو هدا عار ما بعده عار قحبة بنت قحبة كي نشوفو قول شفت قرد طالما الحصة إسمها كلام الناس و ليت شطيح الناس فأظن أن كلام الناس في هاد اليومين يصب فقط في الكارثة و الجريمة البشعة من مختل عقليا و جنسيا ضد براءة في سن الرابعة ياسين رحمه الله و صبر أهله,Negative
يا سامي يا حيوان يا كلب,Negative
اخييييييييييت ممسطها تمثيلها مشا مع السبوعي الله يرحم,Negative
نحيوا بوها الثقافة مادام هذا المنحط و امثالوا يحبوا يرتقيوا بيها و يمثلوها لا يصلح الا قواد خلاه بوه الحنين ملقاش شكون يعطيه رضعتوا,Negative
نكرها,Negative
ماسط وفهمناهعا اما لاسط هل هي نوع من التسلط نسال لطفي العماري للاسط متسلط متجبر على العباد,Negative
بصراحة من أفسد الحلقة هو أنت بتدخلاتك التافهة و التي تدل عن ضعفك في تسير الحوار جلطام مسلسل الفسق انا مقاطعتها قناة الفجور محاشتيش هذي ما تصلح في شئ تقزز ما جات شئ سكاتش هزيل وهزيل جدا كنا متواقعين سكاتش أحلى من هكا برشا يا ملا ركاكة بصراحة العيب موش فيك العيب في الي جابك والله عار على تونس ماسط لاسط اللطف كمشة ماسيخ عاملين برنامج لباس وهما موش لباس فى امخاخهم ودمهم يجرى فيه الطحين توا هي قليلة حياء و نزيدو نحكيو عليها ناقصة لبلاد ميوعة أكثر من هكا هي نجلاء بركه لن تضيف للوسط الفني؟؟؟ هاو بلاتوات التلفزة كل مرة يتحفونا بأنواع و اشكال لا صوت لا ذات لا صفات يعني وصلنا لمرحلة معادش عنا مواضيع مهمة الا موضوع نجلاء و الحصان؟؟؟؟؟ نقصوا مالرويق بربي و اعملونا بلاتوات مهمة تهمنا، مشاغلنا همومنا اش يزيدنا اش ينقصنا قالك فن يا حسرة ع الفن توه فن بودورو الفن الهابط هو الي قاعد يغزو التلفزات هالمسخ آش جيبو احقر انسان ريت في حياتي تفوه عليه راك ماسط راك لاسط بهاطريقة نصنع الارهاب لا يليق بهذا البرنامج يعمل العار,Negative
يا صطوفة يا معلم ابعثهم الكل,Positive
يتفرجو فيه كان لكلاب كنيش,Negative
برافووووا وليد قلت كلمة حق وعبرت على راي نص الشعب التونسي,Positive
مضروبه فروحها بالكدب تقول زايده ريشه عالبنات بفففف,Negative
جهلول يعمل في فماش ما يكبر شعبيتو تي انقرض وهف أقسم بربي هامل و سوكارجي و معظم الأساتذة عارفين هذا مستغرب كان فالأحمرة اللي عاجبتهم أفعالك انقرض نم,Negative
الشّيب والعيب,Negative
يعطيك الصحة وليد بردتلي قلبي لبارح,Positive
تعجبني برشة مريومة,Positive
يا لطيف ياربي اتقوا الله راهو رمضان يزيكم من التقطيع والترييش ومس اعراض الناس كان الغيرة والحسد والكره والشماتة الناجح عندكم مجرم شنوا هذا؟شيء ياسف والله شيء يحزن الواحد لازموا يتجاهلكم ويتجاهل أعمالكم وافعالكم وشتيمتكم استغفرالله ولا حول ولا قوة الا بالله يظهرلي الي شفتوا وعرفتوا في الفايسبوك انوا التونسي للتونسي نقمة مش رحمة ارحموا من في الأرض يرحمكم من في السماء,Negative
معلم,Positive
نحبها,Positive
فنكم دعارة و عصيان لا أكثر,Negative
وبش,Negative
مكثر ها عهرات وكان إلقيت ذكر في وصتهم رهو لي عندو في الدار عاهرة تفوه عليكم كان تولوا عباد يا خماج,Negative
باسل يسر,Negative
وحدك في الوهرة,Positive
ليس بفنان و لا مثقف كلوشار و موش راجل من لخّر أمسط ما فمّا في هالبلاد,Negative
فيه بزاااااف رجولية محلاهم,Positive
لحاسة بن علي ماشين ويكثرو,Negative
ربي يكثر منو الناس,Positive
أيمن مهدي صوتو باهي مافيش ادنى شك يعطيه الصحة وين تحطو ما تخافش عليه هههه ماعرفتش روحي نتفرج في دنيا اخرى ولا في اولاد مفيدة ههههه اما عفسة باهية صوتك روعه لكن الهي بروحوك الشويه عرفينك الراجل دبرتيه تحياتي لهاتة الاستاذة نوفل وحدو مبنِّك ومحلاك يا بيَّة المرأة التونسية بإمتياز بالله ساعة ساعة اعملي علينا طلة نوريلنا القناة جعفور يا معذبهم برافو وليد عندك موهبة في الميدان قمة في الإحساس فنان بأتم معنى الكلمة برفوووووووووووووووووووووووووو جعفر القاسمي من اكثر الكوميدين البارزين في تونس يضحكني برشاا راجل والله تحفونة ويلي عليها الحاذقة برافو ياسين بارك الله فيك يا وليد التونسي برشا جو او تشويق مسلسل حلو حقق اكبر نسب المشاهد توانس تتفرج في ليل او بعد يبداو اسب انا في بالي لي معجبوش المسلسل انجم ابدل مزيانة بارشى و بالنسبة آش عملت بينها و بين الله حلو بصراحة ناجي جلول والله كبرت في عيني كيف كشفت هالكلب الي يبيض في الارهاب شكون موافقني بيه ديمه متألق,Positive
راجل,Positive
منعرفهاش أما عجبني كلامها برشا,Positive
فوزي بن قمرة انسان متميز سوي كفنان شعبي او كمنشد ديني متربي و متالق ربي يوفقك,Positive
تمثيلها مزيان برافوووو,Positive
و خشام الخلصي يتكلم بالسيف داخل لبلاطو في حالة فضحطونا قدام العالم سكر خيييييتت عليكم و برا,Negative
مبدعة ذكية و محترمة و نموذج تفتخر به نساء تونس ؟,Positive
محلاها ياريت زوجتي,Positive
احترمها واحترم كل ممثل ينقل لنا شخصيات الواقع التونسي بكل مافيه من ايجاببات وسلبيات,Positive
تافه وحتى المخرجين الي اتعامل معاهم يعرفوه هاك علاش ما يعطيوه كان دور قوااد والا عساس والا لحاس,Negative
نور اشالله دايما من حسن الي احسن,Positive
مسلسل تافه ومنحط و مافيه حتي تشويق,Negative
الشيب و العيب ما عندي ما نقول,Negative
راجل وسيد الرجال,Positive
جعفور يا غالي نحبك برشا و نموووت على خفة دمك واصل و نشالله من حسن إلى أحسن,Positive
معلمة,Positive
سي عبد الفتاح ما يقبلش النقد و يحكي بصوت عالي تقول في قهوة,Negative
الصراحة مميز,Positive
توفيق يا تافه و الحاجات إلي تعمل فيهم ما يظحكوش كيف ما عملت وقت مدام يمينة تحكي أنتي ماتحترمش لعباد ولكن هي كانت أرقى منك و زادتك حقرة و تقزيم أحترم تحترم و ةما يعطيوك دور العساس و الصباب على خاتر هاكي حقيقتك صباب و بيوع,Negative
ونعم الأخلاق,Positive
عملت العار بالمرايات متاعك,Negative
من أحلى المنشطين، برافو أمين و انشاء الله ديما متألق,Positive
برشا مصاطة يا سي البهيم الواحد يتفرج معا دارهم راو,Negative
ضاهر فيه مريض,Negative
ربي ينورهم واانشاء الله ديما متفوق,Positive
ماااااااسط,Negative
احلى صباح مع احلى ابتسامة تشع من وجه طفولي بريء عيشوشة البشوشة يا احلى بنوتة يخليكي يارب ومايحرمناش من ضحكتك العسل,Positive
ماسط و دم رزين,Negative
قداش رجل مونافق,Negative
بصراحه ياسر تزوفير وقله احياء,Negative
اصل الزين في العينين والعينين في السمره,Positive
امسط اعباد ربي كان تكون راجل معادش توري وجهك في اي قناة فماش واحد قال فيك كلمة حلوة ارخيس واطي واادلاجي الي تحكي اعلية شهرتو اكثر منك بالف مرة,Negative
مسلسل عالمي محلاها وللله بدموع ضحك,Positive
على الأقل كان من الأجدر جعل حصة الليلة حصة خاصة بالحدث الجلل و إستدعاء ضيوف من ذوي الإختصاص من قانونيين و علماء إجتماع و نفس و إجرام و دين و مجتمع مدني و جمعيات فلا أقدس بعد الدين من أطفالنا القصر,Negative
انت معلم و احنا منك نتعلم,Positive
ما امصط من ماصطا لاصطا كان خالد شوكات اما هاو طلع مناضل كبير ورجل المواقف الصعبة اما خسارة مبقالوا في الالقاب كان الحرباء,Negative
شلاكة,Negative
الكلب الارعن لعنه الله,Negative
فعلا انسان ممتاز و طقطوقه من طقاطق تونس الله يخليه و نستناو جديدو,Positive
تبارك الله عليكم ربي اهنيكم,Positive
ممثلة متالقة ديما تربية و ثقافة و جمال قدوة للممثلين علاش لا,Positive
غالط في روحوا برشاااااااااا,Negative
وليد معلم,Positive
محلاها ومحلاا كلامها ملخر تعجبني,Positive
ناقص رجولة وقح قبيح قليل تربية,Negative
موش مربي و بهيم,Negative
اللطف ولد حرام و جاب ولد حرام و باع ولدو,Negative
بلاد الهانة صاحب شهادة عليا و عمره عداه يقرى و حقه انه يخدم تجي الفنانة اللي جايبينها بش تتمزى عليه و توفرله الفلوس ؛؛؛؛,Negative
هشام الخلصي ماسط منحبوش يكره الجزائريين,Negative
صحافي بلاش باك طحان الخوانجية,Negative
ماسط لاسط و قليل تربية,Negative
والله متحشموا ربي ينتقم منكم,Negative
حقيرة ووقحة,Negative
بالعكس هي محبوبة بررررررررشة,Positive
كلام نزيه ومقنع ومحترم,Positive
مسكينة تونس فاش تقاسي العيب موش فيه فلي جابو,Negative
يا سي امين ممسطك وليت والله بففففففففففف,Negative
إعلام العار يمشييو فيكم بالفلس الرخص و الذل,Negative
أريد أن أقول لك انك احسن فناني الراب انا أحد المعجبين بك و اتمنى ان توفق مي مسيرتك الفنية,Positive
سنبل آغا ارجل منك والله ههههههههههههههههههههه مااااااسط و موش متربي و قعر,Negative
عار على المرأة التونسية الإسلامي المعتدلة منافقة و زيد توا كل شئ يحسبو فيه ع الثورة يعطيكم نطحة ثور,Negative
تفاهة,Negative
بصراحة برافو ليها تحسها موهوبة اتقنت المشهد رغم صعوبته ورغم صغر سنها,Positive
يوخياني خرجوه عليا هالهم مقداد السهيلي ركبني لعصاب بربي شكون حطو نقيب هذا هالانسان مصاب بمرض نفسي نادر راهو ماسط لاسط فالو نقيب يكب سعد العار عمرنا ما سمعنا نقيب في مصر والا لبنان والا اي دولة نحاو انخراط فنان رغم العرى والقرا والانحطاط الي عندهم بالعكس يدافعو على فنانيهم لاخر لحظة وشفنا موقف اشرف زكي مع الفنانة ميرهان حسين قلب الجنيا وقريب يردها قضية راي عام كان ينجم هالعبقري مقداد سهيلي مثلا يعطيها انذار والا توبيخ وزيد ياخي ما شافش منال عمارة والا زازا والا غيرهم كلهم كي بعضهم اكيد بش تجي براسو هالعملة ويطيح فيه دعاء توانسة لكل ويا وخياني ممسطو هههه,Negative
يا شيخ عبد الفتاح مورو يا معلم,Positive
معلم يا لطفي,Positive
ماسط ومن لاخر عورلها برشه و تحل في لعريض و هو شخصيه هزيله موش هزليه,Negative
نحطاط ا خلاقي,Negative
جعفووووووووووووور وحدك يا معلم يا فرطاس ربي يحفظك يا غالي,Positive
والله يا سمير راك عملت العار عامل فيها معلم والضيوف تلاميذ راك فارغ في فارغ وبرنامجك كله شغب على كل حال ماعدش نتفرج فيه وان شاءالله الناس الكل يعملو كيفي,Negative
عجبتني الحلقة اخدم ربي يعينك,Positive
متربي برشا واصل,Positive
محلاك والله و محلا هدرتك,Positive
عيشوشة محلاك و محلا زنيك,Positive
راك ماسط راك لاسط كلكلاسط,Negative
جعفور انسان محترم فدلاك ومحبوب من عند الناس الكل,Positive
مستويات منحطة,Negative
بالطبيعة تونس الكل تعرفو أخي تستبهلو فينا ملا اسئلة تافها كيف برنامجك يا امين,Negative
خير من نوفل,Positive
تعجبني بااااررشا,Positive
يعطيه الصحه نشا الله يكون محايد,Positive
يا لطفي انت فين والفكاهة فين,Negative
روعة برافوووووووو,Positive
ملحد,Negative
عملو العار منافقين الى الان سيد الريس ؟؟؟ ما هذا ايها الابله ما عادش يجيني شيء عجب في هالبلاد,Negative
درتوا العار يا قناة الحوار مع هاليهودي مداهنة واضحة لليهودية وما تستغربوش شباب جاهلة توانسة يتعدوا لداعش من التبغديد,Negative
الزبلة لميناها يا فهري يا خامج,Negative
ياسر ماسط و انا ما نحملوش,Negative
تافهة و حقيرة,Negative
ههههههههههه أقبح سيلفي شفته في حياتي,Negative
يكب سعدك يا مسخ تي نجلا طلعت تلصف قدامك,Negative
صوت روعة و تحسن برشة على قبل,Positive
الله يرحم والديك علي موقفك مالكلب الخوامجي شكيب التافه حطيطو في بلاصتو,Negative
ممسطوووووووووووووووووووووو,Negative
ملا شلايك إعلام منحرف,Negative
أحلا جعفور بصراحة أعدت الأمل و زرعت الفرحة في قلوب الناس فألف شكر,Positive
في رمضان يقولو يغيبو الشواطن اما تحضر قناة الحمار التونسي,Negative
الغراب هو قناة الحمار والفولة هي هذه التافهة,Negative
حطب جهنم يا تااافهة إلى الجحيم يا مسخة حسيبكم ربي إنت و المسخين لي كيفك,Negative
يالاطييييف تلطف بينا فين ماشي يا سامي الفهري ب هالقناة لمسخة يا ولدي توب وارجع الربي راك اعملت الريحة وعارفة نهار ربي باش اهبت صاعقة على قناتك الخامجة الي ماتجيب فيها كان فالواطي وخوه انا ننصحك برا داوي روحك انت وهاك المرضى الي يخدمو معاك وربي ينتقم منك انشاءالله موضوع كان الواحد يحشم باش يحكيه حتى بينو و بين نفس ولى يتحكى على الملء بدون حياء,Negative
مسخر متاع بنات,Negative
تونس كاملة نحب جعفر هو الى نسي في الشعب التونسي همهم والسياسة برفوا رجعفور,Positive
المعلم ولد الشعب,Positive
أسد وسط قطيع من النعاج,Negative
مثاال لرجل الدين الميثاليي بتوفيق يا شيخ,Positive
ما شاء الله,Positive
يعطيكم كارثة ياكلاب ياهمال يامرتزقة يافجار,Negative
الشخص هدا ميبون,Negative
مسلسل يحكي كان عالعار و ههه كلهم ولاد في الحرام فضايح قداش نكرهو هالمسلسل,Negative
حلوة عسل لا شهد,Positive
يا عتيك الصحة يا شكيب مواقفك كلها صحيحا او في بلاستها,Positive
لعنة الله على الشياطين,Negative
فنان محترم متالق و نجم تونس وتاج راسن في دول ااعربيه,Positive
كافر,Negative
من وين جيتي انتي لا تمثيل المرأة التونسية,Negative
رجل قانون و مثقف,Positive
اللواط رذيلةٌ من أسوأ الرذائل، خصلةٌ من خصال الشر، مميتاً للحياء ، فساداً للأخلاق ، فساداً للقلب ، اعتداءٌ شديدٌ على الطبيعة التي ركبها الله عز وجل،بل جريمةٌ نكراء تعافها البهائم والحيوانات,Negative
طيارة,Positive
ملا هامل جبتوه,Negative
الله يهلك التلفزه و الفيس بوك و الانترنات الي ضيعت الناس شتتت الافكار و فرقت العايلات تي شباها الدنيا ولات هكا تي شبيها الدنيا فسدت تي شبيها الناس تنحات منها الحشمه و الحياء كل يوم نسمعو بالموت و ماناش حاطين ربي في بالنا و لو شوي يانفسي كفي عن العصيان و اكتسبي فعلا جميلا لعلي الله يرحمني,Negative
مشاء الله تقتل عسل,Positive
ساقط وما يحشمش الله يهلكو هو واللي جابو,Negative
ملّة زبور نشيخ علاهة عذي,Negative
حسيتو مساط السنة البرنامج,Negative
تبارك الله عليه,Positive
برشا قحب,Negative
برافووووووووووو للأخت سميرة التي وقفت بجانب أخيها في محنته ولم تستعار منه وتتشرف بيه وتسافر له أسبوعيا لتطبخ له وتنظف وتاخذه للطبيب هي مثال للأخت الصالحة وهذا تطبيق للمثل التونسي,Positive
ياسر ممسطووو,Negative
من مصر انسان عنده نضرة باهية ومواقفه تعجبني تستاهل طيارة يا لطفي لا طيارة شوية عليك، أحسن ممثل و كوميدي في تونس لطفي و ماغير تكريم يكفيك الناس الي تحب تمثيلك و ضمارك ؛ جعفر القاسمي، انسان خدم على روحو و ضامر و مايمثلش كيف برشا عباد يخرجو فالتلفزة تحياتي جعفور و رانا نحبوك مبدعة ماشاء الله يازينة يلحنينة سيتكوم يااااسر حلو خدمة مزيانة قناة قوية هذه درس وقدوة للعباد اللي نفسهم ضعيفة صوتك حلو وانتي محلاك وغناياتك محلاهم اما زيد اخدم اكثر انتي فنان باهي يا ايمن احلا صوت حوماني عسسسسسل ماشاء الله عبد الفتاح مورو معلم بسراحة مفماش كلمه خير من خديجة برافو مستقبل واعد انشاالله الحمد لله يا ربي هاذي الحلقة تعدت خفيفة و تحفونة منغير الهرج متاع السياسيين يعطيكم الصحة ما فقتش بالوقت كيفاش تعداا مسلسل عالمي كوميدي مش عادي التونسية من أفضل القنوات ياااا معلم الله يشفيها ياااارب احلا طفلة واحلا اب واحلا ام الله يقويهم ياااارب تفرجها من عندك وتفرحهم يااااا يا رحمان يا كريم تحية لعلاء على وقفتو ومشاعرو برافو يعطكيم الصحه صباح الخير يا معلم مسلسل ممتاز روعه نحن نعشق الحوار التونسي الشيخ عبد الفتاح مورو يمتاز بالفصاحة و سرعة البديهة و الوضوح في تصزيحاته وجيهة ممثلة و عليها الكلام مش كي الجماعة لي مشاو للميدان في مصر ضامر برشه منور نور شيبه ودائما متألق راجل ولد وطربي متخلق معندوش كلام زايد يرحم من قراء و ورى يرحم لميمه اش جابت وليد التونسي راجل و سيد الرجال الله يرحم امك,Positive
بلطي أكبر مغني راب تونسي محبوب في دزاير لوكان يسمع مقداد السهيلي لغناية تاع عربي في باري يديك تشارع في لاهاي,Positive
و الله برافو ليك و لاحمد الاندلسي و ربي اكثر منكم الناس,Positive
برافو وليد التونسي,Positive
كبرت في عيني يا وليد,Positive
عيب ان نناقش مساءل محرمة مثل شرب الخمر والمثلية الجنسية اللواط في برنامج محترم ؟؟ ونقولو حرية شخصية عيييييببب,Negative
قمة عار انوا ناقشوا في موضوع محرم في دين اسلامي نهى عليه القران والله شي اسف انو نشوفوا كيما هل اشكال في اعلام هدا بلصتوا الحبس موش طالب بحقوق زايد والله ان لم تستحي افعل ماشئت,Negative
ديما حلوة,Positive
شكون هذا نجلاء من أحسن الفنانين في تونس مرحب بكي في بلادك تونس يانجلاء عندك فانز يحبك برشا,Positive
ملاّ وهرة فيك يا سامي لفهري,Positive
فكره حلوه و تضحك حتى نحن مستحقين الضحكه يعطيك الصحه يا سامى ربى معاك و يوفقك,Positive
رااك ماسط راااك لاسط,Negative
صافي سعيد راجل,Positive
بتوفيق ونجاح,Positive
برافو الفنان وليد التونسي راجل و سيد الرجال الرجولية عندها ناسها يرحم الأم إلي رباتك,Positive
انحطاط اخلاقي و ثقافسي وحقد ايدولوجي لا مثيل له,Negative
ديما متألقة,Positive
والله امسط من هالرهط ما رتش عيني,Negative
ماسط,Negative
تفوووووووووووووووووووووووووه على اشكال هذا النزق,Negative
نسيبتي لعزيزة عندها عامين ملي مصاط وزاد جابو وجيهة لجندوبي زاد مصاط أكثر,Negative
ما سط,Negative
ماسط لاسط و دموا ثقيل و ميعرفش يناقش يا حسرة على مايا القصوري,Negative
ماسط برش,Negative
أكبر غلطة عملها سامي الفهري,Negative
قناة العمالة و الخيانة و المهزلة قناة الجنس و الدعارة والعار قناة الظلم والافتراء و البهتان قناة النذالة و الخقارة والخسة قناة الرذيلة و الفحشاء و الفتنة قناة تزييف و الكذب و التزوير باختصار شديد قناة الباجي السبسي الاعيبكم مملة لانها اصبحت مكشوفة يا عبيد,Negative
خارف,Negative
مرا كبيرة فالعمر هذا و بالمنطق هذا ؟ كاااااااارثة,Negative
الحمد الله سكرتها التلفزة قبل ما يبدا يحكي راهو صفر وفاشل وما يعرفش يحكي نرقد خير تصبحون على خير,Negative
خيه ملا تخلف يا ربي هزهم و رتحنا منهم منافقين و عملا كفار,Negative
ابصراحه روعه,Positive
جعفر يا معلم,Positive
تافهة ومغرورة وجحشة فاهمة الحرية بلغالط مسكينة,Negative
فضائح قناة الحمار التونسي كلام زايد في المباشر شكيب نقص شويا من الكلام الفارغ شعب تافه اولاد القحبة شلاكة لا أكثر لا أقل يا مسخة ناس بكري قالوا الدڨلة دڨلة والعليڨ عليڨ صعيب ياسر باش تفهموه المثل يا جماعة التونسية المثلية,Negative
مريض بمرض اسمه النهضة,Negative
لطفي راو ضمارك ولى مصاطة، سيب عليك بش يوليلك تطييح قدر,Negative
ماسط ياسر,Negative
مرخوفه برشه,Negative
احلى تنائي,Positive
مع الحيوان عديم التربية والاصل المسمى العبدلي اتفووووووووووووووووووووووووووووووووووووووووه,Negative
هذا التقدم ولا لوح مستوى المسلسل منحط,Negative
برافو وليد التونسي يعطيك الصحة و راجل من ظهر راجل,Positive
محلك ومحل مرتك وموتين بعضكم,Positive
لعنك الله واخزك في الدنيا والاخرة يا خامج هاك لي مازال الحق ميش فيك في القناة لي جابتك توا هذا التافه عملينا قدر وجيبنا في التلفاز,Negative
و نعم الاب,Positive
الدلّاجي معلم أي واحد يغلط,Positive
من غير كذب يستحق الجوائز لطفي لانو من احسن الكومديين في تونس,Positive
يا كلاب تفوه عليكم يا اعلام الحجامة اتحداكم تجبدو السبسي يا اعلام العار,Negative
كان جاء انجم يعرض البارا راهو عرض ماسط لاسط,Negative
ماصط ويشنج ا صاب مذبية كيف يتكلم يسكت فيسع وزادى نهضاوي لحد النخاع ونحب نقول الله يهديك ياسامي الفهري إلي حليتلو قناتك وخدمتو تعيس و مستواه صفر ما يصلح كان للسجون و الا قواد قناة الحوار هي قناة الفساد كلب بقو كان الكفرة اتبعو فيكم يا فجرة باين فيها سهرة مارقة نشوف التاسعة اش فمة و زيد تكذب تقول سبلي أمي أمسط و أسقط و أتفه و أحقر و أنذل عباد ربي,Negative
ملا مستويات هذومة يتكلموا على الفن وهوما يخرجوا من أفواههم في العفن الحاصل كي سيدي كي جوادوا ،الواحد كرهكم وأنت يامقداد اش بيك ماكش كيف خوك الي في الزيتونة,Negative
جعفر القاسمي احسن واحد بالرغم من الضحك واللعب والتنكيت اما تعرف تقول كلمتك برا ربي معاك والله يسترك كيما سترت برشة ناس,Positive
